iter	Passed	Remaining
365	1376	2384
366	1379	2379
367	1381	2372
368	1384	2368
369	1391	2369
370	1395	2366
371	1399	2361
372	1401	2356
373	1404	2350
374	1407	2346
375	1412	2344
376	1416	2340
377	1419	2335
378	1422	2331
379	1426	2326
380	1430	2323
381	1433	2318
382	1435	2312
383	1438	2307
384	1441	2302
385	1445	2298
386	1447	2293
387	1450	2287
388	1453	2282
389	1456	2278
390	1459	2272
391	1462	2268
392	1465	2263
393	1468	2258
394	1470	2252
395	1472	2246
396	1475	2241
397	1478	2236
398	1481	2231
399	1484	2226
400	1486	2221
401	1490	2217
402	1492	2211
403	1495	2205
404	1497	2200
405	1499	2193
406	1501	2187
407	1503	2181
408	1508	2179
409	1511	2174
410	1514	2169
411	1516	2163
412	1517	2157
413	1520	2152
414	1522	2146
415	1524	2140
416	1527	2134
417	1529	2129
418	1531	2123
419	1535	2120
420	1538	2116
421	1541	2111
422	1542	2104
423	1544	2098
424	1546	2091
425	1548	2086
426	1552	2083
427	1554	2077
428	1558	2074
429	1560	2068
430	1562	2063
431	1565	2058
432	1568	2053
433	1570	2048
434	1573	2043
435	1575	2038
436	1579	2034
437	1581	2029
438	1583	2023
439	1586	2018
440	1588	2013
441	1590	2007
442	1592	2001
443	1594	1997
444	1597	1992
445	1599	1986
446	1601	1981
447	1604	1977
448	1606	1971
449	1609	1967
450	1611	1962
451	1614	1956
452	1616	1952
453	1619	1947
454	1621	1942
455	1623	1937
456	1626	1932
457	1628	1927
458	1630	1922
459	1632	1916
460	1634	1911
461	1637	1906
462	1640	1903
463	1642	1897
464	1644	1892
465	1646	1886
466	1649	1882
467	1652	1879
468	1655	1874
469	1658	1869
470	1660	1864
471	1663	1860
472	1665	1855
473	1668	1851
474	1670	1846
475	1672	1841
476	1674	1836
477	1677	1831
478	1679	1826
479	1681	1821
480	1682	1815
481	1687	1813
482	1690	1809
483	1693	1805
484	1695	1800
485	1697	1795
486	1699	1790
487	1702	1786
488	1704	1781
489	1706	1776
490	1708	1771
491	1710	1766
492	1713	1761
493	1715	1757
494	1717	1752
495	1719	1746
496	1720	1741
497	1724	1738
498	1726	1733
499	1728	1728
500	1730	1723
501	1732	1718
502	1733	1713
503	1736	1708
504	1738	1704
505	1741	1699
506	1742	1694
507	1745	1690
508	1747	1685
509	1749	1680
510	1750	1675
511	1752	1670
512	1754	1665
513	1756	1660
514	1758	1655
515	1760	1651
516	1762	1646
517	1763	1641
518	1766	1636
519	1769	1632
520	1770	1628
521	1772	1623
522	1774	1618
523	1776	1613
524	1777	1608
525	1779	1603
526	1781	1599
527	1783	1594
528	1785	1589
529	1786	1584
530	1788	1579
531	1790	1575
532	1792	1570
533	1794	1565
534	1797	1562
535	1799	1557
536	1801	1553
537	1803	1549
538	1805	1544
539	1807	1540
540	1809	1535
541	1812	1531
542	1813	1526
543	1815	1521
544	1817	1517
545	1820	1513
546	1822	1509
547	1823	1504
548	1827	1501
549	1829	1497
550	1836	1496
551	1838	1492
552	1841	1488
553	1843	1484
554	1845	1479
555	1848	1475
556	1850	1471
557	1852	1467
558	1861	1468
559	1865	1465
560	1868	1461
561	1872	1459
562	1876	1456
563	1882	1454
564	1888	1453
565	1891	1450
566	1894	1446
567	1896	1442
568	1898	1438
569	1903	1436
570	1906	1432
571	1911	1430
572	1914	1426
573	1926	1429
574	1935	1430
575	1937	1426
576	1939	1421
577	1942	1418
578	1944	1414
579	1948	1410
580	1950	1406
581	1955	1404
582	1965	1406
583	1975	1407
584	1983	1407
585	1987	1404
586	1990	1400
587	1995	1397
588	1997	1393
589	1999	1389
590	2003	1386
591	2005	1382
592	2007	1378
593	2010	1374
594	2012	1369
595	2014	1365
596	2017	1361
597	2020	1357
598	2022	1353
599	2024	1349
600	2027	1345
601	2029	1341
602	2031	1337
603	2033	1333
604	2036	1329
605	2038	1325
606	2041	1321
607	2044	1318
608	2049	1315
609	2051	1311
610	2053	1307
611	2055	1303
612	2057	1299
613	2059	1295
614	2062	1290
615	2064	1286
616	2066	1282
617	2068	1278
618	2070	1274
619	2082	1276
620	2088	1274
621	2095	1273
622	2099	1270
623	2104	1268
624	2108	1265
625	2111	1261
626	2113	1257
627	2116	1253
628	2118	1249
629	2121	1246
630	2126	1243
631	2128	1239
632	2133	1236
633	2135	1232
634	2140	1230
635	2142	1226
636	2150	1225
637	2153	1221
638	2156	1218
639	2161	1215
640	2168	1214
641	2172	1211
642	2188	1214
643	2191	1211
644	2196	1208
645	2203	1207
646	2206	1203
647	2209	1200
648	2213	1197
649	2217	1193
650	2220	1190
651	2224	1187
652	2228	1183
653	2231	1180
654	2239	1179
655	2242	1176
656	2247	1173
657	2250	1169
658	2254	1166
659	2258	1163
660	2262	1160
661	2265	1156
662	2268	1152
663	2270	1148
664	2272	1144
665	2275	1141
666	2279	1137
667	2281	1133
668	2284	1130
669	2303	1134
670	2317	1136
671	2323	1134
672	2326	1130
673	2331	1127
674	2333	1123
675	2336	1119
676	2341	1116
677	2343	1113
678	2346	1109
679	2348	1105
680	2353	1102
681	2355	1098
682	2361	1096
683	2364	1092
684	2369	1089
685	2378	1088
686	2382	1085
687	2386	1082
688	2391	1079
689	2393	1075
690	2397	1072
691	2399	1068
692	2402	1064
693	2406	1061
694	2409	1057
695	2414	1054
696	2420	1052
697	2423	1048
698	2425	1044
699	2431	1041
700	2434	1038
701	2437	1034
702	2443	1032
703	2445	1028
704	2447	1024
705	2449	1020
706	2452	1016
707	2455	1012
708	2458	1009
709	2461	1005
710	2464	1001
711	2467	998
712	2470	994
713	2475	991
714	2478	987
715	2480	984
716	2483	980
717	2486	976
718	2489	972
719	2492	969
720	2494	965
721	2497	961
722	2501	958
723	2504	954
724	2506	950
725	2510	947
726	2513	943
727	2522	942
728	2527	939
729	2531	936
730	2535	933
731	2542	930
732	2547	928
733	2555	926
734	2561	923
735	2565	920
736	2574	918
737	2577	915
738	2580	911
739	2583	907
740	2586	903
741	2588	900
742	2591	896
743	2593	892
744	2595	888
745	2598	884
746	2600	880
747	2602	876
748	2605	873
749	2608	869
750	2610	865
751	2612	861
752	2615	857
753	2617	854
754	2620	850
755	2623	846
756	2626	842
757	2628	839
758	2630	835
759	2633	831
760	2635	827
761	2637	823
762	2640	820
763	2642	816
764	2645	812
765	2647	808
766	2650	805
767	2653	801
768	2655	797
769	2656	793
770	2659	789
771	2662	786
772	2664	782
773	2667	778
774	2669	775
775	2671	771
776	2674	767
777	2676	763
778	2678	759
779	2681	756
780	2683	752
781	2686	748
782	2688	745
783	2690	741
784	2693	737
785	2694	733
786	2697	730
787	2699	726
788	2701	722
789	2704	718
790	2706	715
791	2708	711
792	2712	708
793	2714	704
794	2716	700
795	2718	696
796	2720	692
797	2722	689
798	2724	685
799	2727	681
800	2729	678
801	2731	674
802	2733	670
803	2736	667
804	2738	663
805	2741	659
806	2743	656
807	2746	652
808	2750	649
809	2753	645
810	2755	642
811	2759	638
812	2761	635
813	2764	631
814	2767	628
815	2770	624
816	2775	621
817	2777	617
818	2780	614
819	2782	610
820	2785	607
821	2787	603
822	2789	600
823	2792	596
824	2794	592
825	2797	589
826	2798	585
827	2800	581
828	2803	578
829	2805	574
830	2806	570
831	2809	567
832	2812	563
833	2814	560
834	2816	556
835	2818	552
836	2820	549
837	2822	545
838	2825	542
839	2827	538
840	2828	534
841	2831	531
842	2834	527
843	2835	524
844	2837	520
845	2840	517
846	2841	513
847	2843	509
848	2846	506
849	2847	502
850	2849	498
851	2851	495
852	2853	491
853	2857	488
854	2859	484
855	2862	481
856	2864	478
857	2867	474
858	2870	471
859	2873	467
860	2875	464
861	2877	460
862	2879	457
863	2881	453
864	2883	450
865	2885	446
866	2887	442
867	2889	439
868	2891	435
869	2893	432
870	2895	428
871	2897	425
872	2901	422
873	2903	418
874	2906	415
875	2911	412
876	2916	409
877	2918	405
878	2919	401
879	2924	398
880	2926	395
881	2929	391
882	2932	388
883	2934	385
884	2939	381
885	2941	378
886	2942	374
887	2945	371
888	2947	368
889	2949	364
890	2954	361
891	2956	358
892	2960	354
893	2962	351
894	2964	347
895	2967	344
896	2969	340
897	2970	337
898	2973	334
899	2976	330
900	2978	327
901	2980	323
902	2982	320
903	2984	316
904	2986	313
905	2987	309
906	2989	306
907	2991	303
908	2992	299
909	2994	296
910	2996	292
911	2999	289
912	3001	286
913	3003	282
914	3005	279
915	3007	275
916	3009	272
917	3011	268
918	3013	265
919	3014	262
920	3016	258
921	3018	255
922	3021	252
923	3023	248
924	3026	245
925	3029	242
926	3031	238
927	3033	235
928	3035	232
929	3037	228
930	3039	225
931	3043	222
932	3045	218
933	3048	215
934	3051	212
935	3053	208
936	3057	205
937	3058	202
938	3060	198
939	3063	195
940	3065	192
941	3067	188
942	3068	185
943	3071	182
944	3073	178
945	3075	175
946	3076	172
947	3078	168
948	3080	165
949	3082	162
950	3084	158
951	3086	155
952	3088	152
953	3089	148
954	3091	145
955	3093	142
956	3095	139
957	3097	135
958	3098	132
959	3100	129
960	3102	125
961	3104	122
962	3106	119
963	3109	116
964	3110	112
965	3112	109
966	3115	106
967	3118	103
968	3120	99
969	3122	96
970	3123	93
971	3126	90
972	3127	86
973	3130	83
974	3132	80
975	3133	77
976	3135	73
977	3137	70
978	3139	67
979	3140	64
980	3144	60
981	3146	57
982	3149	54
983	3150	51
984	3152	48
985	3154	44
986	3156	41
987	3157	38
988	3159	35
989	3161	31
990	3163	28
991	3164	25
992	3167	22
993	3169	19
994	3171	15
995	3173	12
996	3175	9
997	3177	6
998	3179	3
999	3180	0
